title,price,link
Parlante Portátil Sonos Move 2 Con Sonido Estéreo Wifi Y Bluetooth Color Verde Oliva,$2.299.900,https://www.mercadolibre.com.co/parlante-portatil-sonos-move-2-con-sonido-estereo-wifi-y-bluetooth-color-verde-oliva/p/MCO36591255?pdp_filters=shipping%3Afulfillment&highlight=false&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MCO36591255&position=2&search_layout=stack&type=product&tracking_id=ffae78aa-9cd0-44a7-9e28-808690caf6a2&wid=MCO2739692382&sid=search
Sonos Move 2 Parlante Portátil Con Sonido Estéreo Wifi Y Bt Color Negro 110V/220V,$2.299.900,https://www.mercadolibre.com.co/sonos-move-2-parlante-portatil-con-sonido-estereo-wifi-y-bt-color-negro-110v220v/p/MCO44711857?pdp_filters=shipping%3Afulfillment&highlight=false&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MCO44711857&position=3&search_layout=stack&type=product&tracking_id=ffae78aa-9cd0-44a7-9e28-808690caf6a2&wid=MCO1377612763&sid=search
Sonos Move 2 - Parlante Portátil Con Sonido Estéreo Wifi Bt Color Blanco,$2.299.900,https://www.mercadolibre.com.co/sonos-move-2-parlante-portatil-con-sonido-estereo-wifi-bt-color-blanco/p/MCO44711906?pdp_filters=shipping%3Afulfillment&highlight=false&headerTopBrand=true#polycard_client=search-nordic&searchVariation=MCO44711906&position=1&search_layout=stack&type=product&tracking_id=ffae78aa-9cd0-44a7-9e28-808690caf6a2&wid=MCO1376308905&sid=search
